Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
26-704;126704;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Comunitario Cristina Calderón de Puerto Williams;No Aplica;Servicio de Salud;Primario;12201;Cabo de Hornos;Calle;246;O'Higgins;612453636;;SI;Urgencia Hospitalaria (UEH);No Aplica;-54,935209;-67,600393;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
26-412;126412;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cameron;No Aplica;Municipal;Primario;12303;Timaukel;Calle;;Caserío de Camerón;74613302;;NO;No Aplica;No Aplica;-53,640546;-69,645848;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-414;126414;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Agua Fresca;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Caserío de Agua Fresca;612260555;;NO;No Aplica;No Aplica;-53,404244;-70,990158;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-102;126102;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Marco Antonio Chamorro ( Porvenir);No Aplica;Servicio de Salud;Primario;12301;Porvenir;Calle;480;Carlos Wood ;612291800;04-01-2018;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,298162;-70,358384;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
;201364;;;8;Región Del Bíobío;8;SEREMI Del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud; UNO SALUD DENTAL LOS ÁNGELES 2;No Aplica;Privado;No Aplica;8301;Los Ángeles;Avenida;610;ALEMANIA ;;13-02-2023;NO;No Aplica;No Aplica;-37,4685;-72,34039;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;18-04-2023
26-902;200311;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;370;Linao;;17-02-2017;NO;No Aplica;No Aplica;-53,180523;-70,951523;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-911;200710;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Mental;Establecimiento de Salud;Complejo Miraflores (Salud Mental);No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;825;Las Heras;611739;;NO;No Aplica;No Aplica;-53,178263;-70,921575;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-606;126606;26-010;126010;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Punta Arenas;No Aplica;Municipal;Secundario;12101;Punta Arenas;Calle;225;Junta de Gobierno;612291250;;NO;No Aplica;No Aplica;-53,178248;-70,922132;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-801;126801;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;2850;Zenteno ;612260555;24-09-2021;SI;Urgencia Ambulatoria (SAR);No Aplica;-53,1748979;-70,9380146;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;16-12-2021
26-301;126301;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Juan Damianovic;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1102;Zenteno ;800500988;;NO;No Aplica;No Aplica;-53,174949;-70,937956;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-203;126203;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC Punta Arenas;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1890;España;612207800;;NO;No Aplica;No Aplica;-53,168237;-70,922324;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-904;200473;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico de Agostini y Cia. Ltda.;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;472;Perez de Arce;612244454;17-07-2008;NO;No Aplica;No Aplica;-53,168016;-70,91972;Privado;Vigente en Operación Habitual;;No Aplica;
26-228;126228;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Corporación Municipal Punta Arenas;No Aplica;Municipal;No Aplica;12101;Punta Arenas;Calle;1890;España ;;;NO;No Aplica;No Aplica;-53,167827;-70,920882;Público ;Vigente en Operación Habitual;;No Aplica;
26-030;126030;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Unidad de Salud Funcionarios ;Unidad de Atención;Unidad de Salud Funcionario  S.S Magallanes;No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;29-01-2021;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-010;126010;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dirección Servicio de Salud;Unidad de Atención;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-011;126011;26-010;126010;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Programa de Atención ;PRAIS (S.S Magallanes);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-900;200171;26-302;126302;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU 18 de Septiembre;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano ;612260730;;SI;Urgencia Ambulatoria (SAPU);Corto;-53,165297;-70,930831;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-302;126302;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar 18 Septiembre;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano ;800500986;;NO;No Aplica;No Aplica;-53,165219;-70,931067;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-095;126095;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio SEREMI de Salud Magallanes;No Aplica;SEREMI de Salud;Primario;12101;Punta Arenas;Calle;756;Balmaceda;612291374;;NO;No Aplica;No Aplica;-53,164875;-70,910293;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-212;126212;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica de Recuperación Hogar de Cristo Juan Pablo II;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;736;Balmaceda;612242215;;NO;No Aplica;No Aplica;-53,164726;-70,91057;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
26-908;200700;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Diagnóstico  Clinica  Magallanes;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;890;Presidente Pedro Montt;;;NO;No Aplica;No Aplica;-53,16293;-70,923197;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-214;126214;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Centro Médico y Dental MegaSalud S.A Punta Arenas;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;890;Puerto Montt;612241110;;NO;No Aplica;No Aplica;-53,162831;-70,905418;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-906;200542;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Magallanes;No Aplica;Privado;No Aplica;12101;Punta Arenas;Avenida;1040-D;Cristobal Colón;612244454;17-03-1978;NO;No Aplica;No Aplica;-53,161713;-70,900754;Privado;Vigente en Operación Habitual;;No Aplica;
26-912;200921;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Medi-Lab S.A;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;504;Monseñor Fagnano;61-2615165;06-01-2010;NO;No Aplica;No Aplica;-53,161592;-70,90533;Privado;Vigente en Operación Habitual;;No Aplica;
26-211;126211;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Medvital;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1057;Armando Sanhueza;612235485;;NO;No Aplica;No Aplica;-53,161227;-70,911645;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-222;126222;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la Fuerzas Armadas y de Orden;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Calle;611;José Menendez;612241206;;NO;No Aplica;No Aplica;-53,160682;-70,908544;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-225;126225;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Croacia;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;1053;Sarmiento;612228903;;NO;No Aplica;No Aplica;-53,158399;-70,896966;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
26-213;126213;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Instituto Médico Sarmiento;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;607;Sarmiento;612238587;;NO;No Aplica;No Aplica;-53,155788;-70,903864;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-304;126304;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Carlos Ibáñez;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Avenida;;Eduardo Frei;800500987;;NO;No Aplica;No Aplica;-53,155217;-70,93044;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
;201069;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Carlos  Ibañez;No Aplica;Municipal;Primario;12101;Punta Arenas;Avenida;1102;Frei ;612281443;01-06-2021;SI;Urgencia Ambulatoria (SAPU);Corto;-53,155217;-70,93044;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
;200691;;;12;Región De Magallanes y de la Antártica Chilena;;;No Aplica;Servicio Médico Legal;Establecimiento Medicina Legal;Servicio Médico Legal Punta Arenas;No Aplica;Ministerio de Justicia ;No Aplica;12101;Punta Arenas;Calle;170;Lautaro Navarro;(61)247011;;NO;No Aplica;No Aplica;-53,15501739;-70,8973507;Institución Medicina Legal;Vigente en Operación Habitual;;No Aplica;
26-227;126227;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Central Odontológica de Magallanes de 3era Zona Naval;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Avenida;256;Bulnes;612207511;;NO;No Aplica;No Aplica;-53,154624;-70,901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-200;126200;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital FFAA Cirujano Guzmán;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12101;Punta Arenas;Avenida;256;Bulnes;612207500;;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,154624;-70,901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-910;200709;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud ;Centro Diurno (pertenece a SENAMA);No Aplica;Servicio de Salud;Primario;12101;Punta Arenas;Avenida;862;Eduardo Frei Montalva ;;;NO;No Aplica;No Aplica;-53,15366;-70,911982;Público ;Vigente en Operación Transitoria;Baja Complejidad;Atención Abierta-Ambulatoria;
26-303;126303;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Thomas Fenton;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;762;Prolongación Velastegui;800500989;;NO;No Aplica;No Aplica;-53,148209;-70,887538;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-219;126219;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Rehabilitación Club de Leones Cruz del Sur;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1411;Suiza;612217396;;NO;No Aplica;No Aplica;-53,143158;-70,881773;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-300;126300;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Mateo Bencur;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo;800500990;;NO;No Aplica;No Aplica;-53,142118;-70,912631;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-800;126800;26-300;126300;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dr. Mateo Bencur;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo ;612210142;;SI;Urgencia Ambulatoria (SAPU);Corto;-53,141867;-70,912506;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
;201245;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;CEINSA;No Aplica;Privado;No Aplica;13201;Puente Alto;Calle;431;Eduardo Cordero;227922092;07-06-2022;NO;No Aplica;No Aplica;-33,605288;-70,570507;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
